starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:50:39 2024	1717147239	0	13	13	9
Fri May 31 14:50:41 2024	1717147241	0	14	14	13
Fri May 31 14:50:43 2024	1717147243	0	15	15	15
Fri May 31 14:50:41 2024	1717147241	0	16	16	15
Fri May 31 14:50:40 2024	1717147240	0	16	16	16
Fri May 31 14:50:40 2024	1717147240	0	17	17	17
Fri May 31 14:50:40 2024	1717147240	0	20	20	20
Fri May 31 14:50:41 2024	1717147241	0	20	20	19
Fri May 31 14:50:41 2024	1717147241	0	22	23	22
Fri May 31 14:50:42 2024	1717147242	0	25	25	25
Fri May 31 14:50:44 2024	1717147244	0	26	26	25
Fri May 31 14:50:43 2024	1717147243	0	26	26	25
Fri May 31 14:50:43 2024	1717147243	0	27	27	26
Fri May 31 14:50:41 2024	1717147241	0	28	28	27
Fri May 31 14:50:43 2024	1717147243	0	28	28	28
Fri May 31 14:50:41 2024	1717147241	0	28	29	28
Fri May 31 14:50:43 2024	1717147243	0	29	29	29
Fri May 31 14:50:45 2024	1717147245	0	29	29	29
Fri May 31 14:50:45 2024	1717147245	0	30	30	30
Fri May 31 14:50:40 2024	1717147240	0	31	31	31
Fri May 31 14:50:40 2024	1717147240	0	31	31	22
Fri May 31 14:50:41 2024	1717147241	0	31	31	30
Fri May 31 14:50:41 2024	1717147241	0	32	32	31
Fri May 31 14:50:46 2024	1717147246	0	34	34	33
Fri May 31 14:50:45 2024	1717147245	0	37	37	37
Fri May 31 14:50:46 2024	1717147246	0	38	38	36
Fri May 31 14:50:41 2024	1717147241	0	38	38	38
Fri May 31 14:50:43 2024	1717147243	0	38	38	38
Fri May 31 14:50:41 2024	1717147241	0	40	40	40
Fri May 31 14:50:40 2024	1717147240	0	40	40	40
Fri May 31 14:50:41 2024	1717147241	0	41	41	40
Fri May 31 14:50:46 2024	1717147246	0	41	41	40
Fri May 31 14:50:40 2024	1717147240	0	41	41	40
Fri May 31 14:50:42 2024	1717147242	0	41	41	41
Fri May 31 14:50:45 2024	1717147245	0	41	41	41
Fri May 31 14:50:41 2024	1717147241	0	42	42	42
Fri May 31 14:50:41 2024	1717147241	0	42	42	42
Fri May 31 14:50:41 2024	1717147241	0	44	44	44
Fri May 31 14:50:47 2024	1717147247	0	44	44	44
Fri May 31 14:50:45 2024	1717147245	0	44	44	44
Fri May 31 14:50:46 2024	1717147246	0	45	45	45
Fri May 31 14:50:41 2024	1717147241	0	45	45	45
Fri May 31 14:50:41 2024	1717147241	0	46	46	46
Fri May 31 14:50:47 2024	1717147247	0	47	47	47
Fri May 31 14:50:41 2024	1717147241	0	49	49	48
Fri May 31 14:50:40 2024	1717147240	0	49	49	49
Fri May 31 14:50:41 2024	1717147241	0	49	49	49
Fri May 31 14:50:47 2024	1717147247	0	51	51	47
