starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:48:44 2024	1717147124	0	13	13	9
Fri May 31 14:48:47 2024	1717147127	0	14	14	14
Fri May 31 14:48:49 2024	1717147129	0	15	15	14
Fri May 31 14:48:52 2024	1717147132	0	15	15	14
Fri May 31 14:48:50 2024	1717147130	0	15	15	14
Fri May 31 14:48:50 2024	1717147130	0	16	16	16
Fri May 31 14:48:52 2024	1717147132	0	18	18	13
Fri May 31 14:48:45 2024	1717147125	0	19	19	19
Fri May 31 14:48:51 2024	1717147131	0	19	19	19
Fri May 31 14:48:50 2024	1717147130	0	19	19	19
Fri May 31 14:48:50 2024	1717147130	0	20	20	20
Fri May 31 14:48:46 2024	1717147126	0	22	22	22
Fri May 31 14:48:45 2024	1717147125	0	23	23	20
Fri May 31 14:48:45 2024	1717147125	2	21	23	21
Fri May 31 14:48:45 2024	1717147125	0	24	24	24
Fri May 31 14:48:50 2024	1717147130	0	26	26	26
Fri May 31 14:48:45 2024	1717147125	0	27	27	26
Fri May 31 14:48:52 2024	1717147132	0	27	27	27
Fri May 31 14:48:44 2024	1717147124	2	25	28	25
Fri May 31 14:48:52 2024	1717147132	0	28	28	28
Fri May 31 14:48:45 2024	1717147125	0	29	29	27
Fri May 31 14:48:45 2024	1717147125	0	29	29	28
Fri May 31 14:48:49 2024	1717147129	0	31	31	30
Fri May 31 14:48:45 2024	1717147125	0	31	31	30
Fri May 31 14:48:47 2024	1717147127	0	31	31	31
Fri May 31 14:48:49 2024	1717147129	0	31	31	31
Fri May 31 14:48:51 2024	1717147131	0	32	32	31
Fri May 31 14:48:50 2024	1717147130	0	32	32	32
Fri May 31 14:48:48 2024	1717147128	0	32	32	31
Fri May 31 14:48:52 2024	1717147132	0	32	32	27
Fri May 31 14:48:46 2024	1717147126	0	33	33	32
Fri May 31 14:48:45 2024	1717147125	0	33	33	33
Fri May 31 14:48:52 2024	1717147132	0	34	34	34
Fri May 31 14:48:49 2024	1717147129	0	35	35	23
Fri May 31 14:48:48 2024	1717147128	0	36	36	36
Fri May 31 14:48:52 2024	1717147132	0	37	37	37
Fri May 31 14:48:52 2024	1717147132	0	37	37	37
Fri May 31 14:48:45 2024	1717147125	0	38	38	38
Fri May 31 14:48:45 2024	1717147125	0	38	38	38
Fri May 31 14:48:48 2024	1717147128	0	38	38	38
Fri May 31 14:48:52 2024	1717147132	0	39	39	39
Fri May 31 14:48:52 2024	1717147132	0	39	39	39
Fri May 31 14:48:48 2024	1717147128	0	39	40	39
Fri May 31 14:48:50 2024	1717147130	0	40	40	39
Fri May 31 14:48:47 2024	1717147127	0	40	40	39
Fri May 31 14:48:50 2024	1717147130	0	40	40	40
Fri May 31 14:48:52 2024	1717147132	0	41	41	40
Fri May 31 14:48:44 2024	1717147124	0	42	42	41
Fri May 31 14:48:50 2024	1717147130	0	42	42	41
Fri May 31 14:48:52 2024	1717147132	0	42	42	42
Fri May 31 14:48:45 2024	1717147125	0	44	44	43
Fri May 31 14:48:52 2024	1717147132	0	46	46	45
Fri May 31 14:48:52 2024	1717147132	0	47	47	46
Fri May 31 14:48:52 2024	1717147132	0	47	47	46
Fri May 31 14:48:45 2024	1717147125	0	48	48	47
Fri May 31 14:48:52 2024	1717147132	0	48	48	48
Fri May 31 14:48:50 2024	1717147130	0	48	48	48
Fri May 31 14:48:45 2024	1717147125	0	50	50	50
Fri May 31 14:48:52 2024	1717147132	0	52	52	51
Fri May 31 14:48:52 2024	1717147132	0	53	53	52
Fri May 31 14:48:44 2024	1717147124	0	53	53	53
Fri May 31 14:48:52 2024	1717147132	0	54	54	54
